id,sheet,price
0,cake_cheese.png,600
1,cake_chocolate.png,600
2,cake_matcha.png,700
3,cake_redvelvet.png,700
4,cake_strawberry.png,800
5,fruit_apple.png,100
6,fruit_banana.png,100
7,fruit_greengrape.png,300
8,fruit_kiwi.png,200
9,fruit_watermelon_slice.png,200
10,pastry_baguette.png,300
11,pastry_bread.png,200
12,pastry_brioche.png,400
13,pastry_croissant.png,300
14,pastry_pretzel.png,200
15,popsicle_blue.png,200
16,popsicle_green.png,200
17,popsicle_pink.png,200
18,popsicle_red.png,200
19,popsicle_yellow.png,200
20,soymilk_almond.png,200
21,soymilk_banana.png,200
22,soymilk_choco.png,200
23,soymilk_chocomint.png,200
24,soymilk_coffee.png,300
